keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew
'Schnee Wetterdienst',de,Mitigation,#9e3215,#802d16,1,0.0737492212499125
'Schnee Eis',de,Hazard,#4287f5,#638ed4,2,0.0564290477796174
'Schneefall',de,Hazard,#4287f5,#638ed4,2,0.0492483758071775
'Frost',de,Hazard,#4287f5,#315fa8,3,0.0429720103465437
'Schnee Langlauf',de,Impacts,#a89216,#bfba22,1,0.0403299808155588
'Schnee Winterdienst',de,Mitigation,#9e3215,#9e3215,1,0.0400713729805145
'Glätte',de,Hazard,#4287f5,#4b4a63,1,0.039780118089663
'Schnee Klimawandel',de,Causes,#679e2c,#477515,1,0.0395637443531922
'glatte Straßen',de,Impacts,#a89216,#87830f,1,0.0392574551748688
'Kälteeinbruch',de,Causes,#679e2c,#61b00c,1,0.0378123391053657
'Schnee Wetterlage',de,Causes,#679e2c,#7db344,1,0.0371641272817275
'Schnee Ski',de,Impacts,#a89216,#bfba22,1,0.0369905547436507
'Glatteis',de,Hazard,#4287f5,#3b4a73,2,0.0362488795055482
'Eis Unfälle',de,Impacts,#a89216,#87830f,1,0.0343908840758824
'Schnee Verkehr',de,Impacts,#a89216,#87830f,1,0.0334201763864533
'Eis Frost',de,Hazard,#4287f5,#022f78,1,0.03336535580006413
'Schnee streuen',de,Mitigation,#9e3215,#9e3215,1,0.0332673243782768
'Schnee Schulausfälle',de,Mitigation,#9e3215,#802d16,1,0.0298967306853203
'Frost Flughafen',de,Impacts,#a89216,#bfba22,1,0.0243398410601885
'Schnee Rodeln',de,Impacts,#a89216,#bfba22,1,0.0216366662604919
'Schnee Sperrung',de,Mitigation,#9e3215,#802d16,1,0.0183719556415449
'Glatteis Feuerwehr',de,Mitigation,#9e3215,#d64118,1,0.0175304762663627
'Glatteis Stau',de,Impacts,#a89216,#a89216,1,0.0151874028711001
'Frost Verspätung',de,Impacts,#a89216,#a89216,1,0.0094023064221015
'Schnee Luftmassengrenze',de,Causes,#679e2c,#7db344,1,0.0032516241355299
'Schnee Räumfahrzeug',de,Mitigation,#9e3215,#b55035,1,0.0023709530184758
'Schnee Umleitung',de,Mitigation,#9e3215,#802d16,1,0.0015593653370256
'Schnee Tiefdruck',de,Causes,#679e2c,#679e2c,1,6.205046706365696e-05
