domain,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
www.zeit.de,-0.013520638811079988,0.20804594733106155,0.035373327108621226,0.09639574549249134,1020.0
www.stern.de,-0.07366629912477088,0.2286249379184743,0.05086623365969988,0.11140031099161578,903.0
www.tagesspiegel.de,0.007529234211415062,0.2401296536507206,0.06748353596757851,0.10962373463388769,376.0
www.bild.de,-0.011936752798151762,0.23374676455248233,0.06537824581866032,0.10844793141023354,193.0
www.faz.net,0.00485171261487051,0.2313475939162316,0.033989139515455305,0.08004254858628547,95.0
www.n-tv.de,-0.0019377587991718447,0.23977421263711954,0.08172058316080055,0.14666500349395453,92.0
www.welt.de,-0.023272005772005777,0.21990404004092234,0.0878219696969697,0.1519049266268212,88.0
www.focus.de,-0.03353896103896104,0.2854214213360227,0.06827458256029685,0.09841558057819533,77.0
www.morgenpost.de,-0.0014653784219001648,0.24737996322852754,0.03864734299516908,0.09084299716897956,69.0
www.sueddeutsche.de,-0.002756991685563117,0.19658084524017963,0.0636936255983875,0.09901024840165926,63.0
www.tagesschau.de,0.0021966490299823566,0.21762946402911257,0.10592592592592592,0.14986132377360833,45.0
www.diepresse.com,0.01842700258397932,0.22314859742805074,0.08255813953488372,0.16388406069510542,43.0
www.nzz.ch,0.09092145191409896,0.19434057257342496,0.055508870214752565,0.10661467107943993,34.0
orf.at,0.07851587301587301,0.2093530470281786,0.13916666666666666,0.1429917390162823,20.0
www.autobild.de,0.11623931623931624,0.32708850741007217,0.05555555555555555,0.1469861839480328,13.0
taz.de,-0.002083333333333335,0.18776076143687084,0.22916666666666666,0.10128592391758286,12.0
steiermark.orf.at,0.07575757575757575,0.16702688345886058,0.035606060606060606,0.0679144589713688,11.0
www.pcgames.de,0.17684523809523808,0.15586575202096584,0.036309523809523805,0.07144840994344599,8.0
www.dw.com,-0.0786904761904762,0.18935653062836247,0.22083333333333333,0.22813077563899792,8.0
www.brigitte.de,0.006909722222222222,0.2634673089257469,0.046875,0.13258252147247765,8.0
burgenland.orf.at,0.1738392857142857,0.17732007983949732,0.06875,0.1032939633141398,8.0
ooe.orf.at,0.07902380952380951,0.12144959435195313,0.16183673469387755,0.12053371754455995,7.0
vorarlberg.orf.at,0.07802721088435373,0.3183218977385172,0.023809523809523808,0.06299407883487121,7.0
tirol.orf.at,0.1560204081632653,0.22971920461372392,0.14557823129251699,0.10711135843362349,7.0
noe.orf.at,0.23880952380952378,0.27469969172702147,0.15142857142857144,0.1157720804130884,7.0
salzburg.orf.at,0.18214285714285713,0.17182493859684492,0.15476190476190474,0.1417366773784602,7.0
oe3.orf.at,0.07857142857142857,0.15286381827880496,0.12857142857142856,0.21665358411575858,5.0
kaernten.orf.at,-0.16699999999999998,0.27873822845099666,0.0,0.0,5.0
www.telepolis.de,-0.034166666666666665,0.24374821936671548,0.06666666666666667,0.14907119849998596,5.0
www.gamestar.de,0.24523809523809526,0.23152849106939466,0.08,0.17888543819998318,5.0
www.golem.de,0.14857142857142855,0.14466710555123244,0.014285714285714285,0.031943828249996996,5.0
hallespektrum.de,-0.06666666666666664,0.36146883990493867,0.0,0.0,5.0
wien.orf.at,0.062499999999999986,0.14425735747331983,0.20238095238095238,0.21162367660275214,4.0
t3n.de,0.05291666666666667,0.1112086377540482,0.08333333333333333,0.11055415967851331,4.0
www.prnewswire.com,0.5041666666666667,0.42825550525098655,0.0,0.0,4.0
www.kicker.de,0.09499999999999999,0.13203534880225573,0.03571428571428571,0.07142857142857142,4.0
www.urlaubspiraten.de,0.41666666666666663,0.1304692386052062,0.0,0.0,4.0
www.googlewatchblog.de,0.43229166666666663,0.20633415791434592,0.0625,0.125,4.0
www.spektrum.de,0.019444444444444445,0.14680233624137567,0.25,0.25,3.0
www.freitag.de,-0.16666666666666666,0.033333333333333326,0.0,0.0,3.0
sport.orf.at,0.22999999999999998,0.19924858845171273,0.0,0.0,3.0
www.discountfan.de,0.10625,0.15026019100214133,0.0,0.0,2.0
www.globenewswire.com,0.0,0.0,0.0,0.0,2.0
www.perlentaucher.de,0.09687499999999999,0.13700193885489356,0.0,0.0,2.0
www.dwdl.de,0.1983333333333333,0.11549410759380276,0.06666666666666667,0.09428090415820634,2.0
www.rtl.de,-0.15,0.07071067811865477,0.1,0.14142135623730953,2.0
www.computerbase.de,0.0,1.0,0.0,1.0,1.0
science.orf.at,0.0,1.0,0.0,1.0,1.0
snipz.de,0.0,1.0,0.0,1.0,1.0
www.waz.de,0.0,1.0,0.0,1.0,1.0
www.visions.de,0.0,1.0,0.0,1.0,1.0
www.teltarif.de,0.0,1.0,0.0,1.0,1.0
stadt-bremerhaven.de,0.0,1.0,0.0,1.0,1.0
wirres.net,0.0,1.0,0.0,1.0,1.0
www.kino-zeit.de,0.0,1.0,0.0,1.0,1.0
www.derstandard.at,0.0,1.0,0.0,1.0,1.0
www.derstandard.de,0.0,1.0,0.0,1.0,1.0
www.kino.de,0.0,1.0,0.0,1.0,1.0
www.sistrix.de,0.0,1.0,0.0,1.0,1.0
www.rbb24.de,0.0,1.0,0.0,1.0,1.0
www.photoscala.de,0.0,1.0,0.0,1.0,1.0
frische-brise.blogspot.com,0.0,1.0,0.0,1.0,1.0
www.ibiza-heute.de,0.0,1.0,0.0,1.0,1.0
www.jungewelt.de,0.0,1.0,0.0,1.0,1.0
www1.wdr.de,0.0,1.0,0.0,1.0,1.0
